영화ID,영화제목,장르,개봉 연도,상영 시간(분),평점,label1,label2,is_certain,긍정 평론 (핵심 요약),부정 평론 (핵심 요약)
M083,청설,로맨스/드라마,2024,108,3.2,설레고 싶어,성장 이야기가 보고 싶어,1,풋풋한 청춘들의 순수한 사랑과 소통의 가치를 따뜻하고 싱그러운 비주얼로 담아냈다.,원작 대만 영화의 매력을 크게 벗어나지 않는 안전하고 무난한 리메이크에 그쳤다.
M084,애프터 미투,다큐멘터리,2021,85,3.3,생각하게 만드는 영화를 보고 싶어,,0,미투 운동 이후의 삶과 목소리를 다각도로 조명하며 깊은 사회적 성찰과 생각할 거리를 던진다.,다큐멘터리 장르 특성상 대중적인 재미나 극적인 서사 구조를 기대하기는 어렵다.
M085,"님아, 그 강을 건너지 마오",다큐멘터리/로맨스,2014,86,3.9,울고 싶어,가족이랑 보고 싶어,0,76년이라는 긴 세월 동안 변치 않은 노부부의 순수한 사랑과 이별의 과정이 진한 눈물을 자아낸다.,다큐멘터리임에도 일부 연출된 듯한 장면들이 몰입을 간혹 방해한다는 의견이 있다.
M086,스플릿,스포츠/드라마,2015,121,3.3,성장 이야기가 보고 싶어,몰입하고 싶어,0,볼링이라는 신선한 소재와 소외된 이들의 연대 및 성장을 따뜻하고 몰입감 있게 그렸다.,도박 범죄물과 스포츠 성장물의 결합이 다소 식상하고 악역의 묘사가 지나치게 평면적이다.
M087,신세계,범죄/스릴러/액션,2013,134,4.2,몰입하고 싶어,긴장감을 느끼고 싶어,0,한국형 느와르의 정점이라 불릴 만큼 팽팽한 캐릭터 간의 텐션과 밀도 높은 긴장감을 선사한다.,홍콩 영화(무간도)의 플롯과 유사성이 짙고 마초적인 폭력성 묘사가 다소 과하다.
M088,왕의 남자,시대극/드라마,2005,119,3.8,반전을 보고 싶어,미장센이 좋은 영화를 보고 싶어,0,연산군 시대의 비극을 광대들의 삶과 미장센을 통해 예술적이고 깊이 있게 그려낸 명작이다.,픽션과 사학의 경계에서 오는 고증 오류와 연극적 연출 톤이 취향을 탈 수 있다.
M089,친구,범죄/액션,2001,117,3.8,울고 싶어,친구랑 보고 싶어,0,그 시절 부산을 배경으로 한 거친 남성들의 진한 우정과 몰락을 사실적이고 강렬하게 묘사했다.,조폭 문화를 미화했다는 비판과 함께 폭력성과 대사의 자극성이 매우 강하다.
M090,봄날은 간다,로맨스/드라마,2001,106,3.8,설레고 싶어,음악이 좋은 영화를 보고 싶어,0,사랑이 변해가는 과정을 담담하면서도 지극히 현실적으로 그려내 오랜 여운과 아름다운 사운드를 남긴다.,극적인 갈등이나 뚜렷한 사건 중심의 전개를 좋아하는 관객에게는 다소 밋밋하고 지루할 수 있다.
M091,히말라야,모험/스포츠,2015,125,3.5,감동받고 싶어,울고 싶어,1,황정민의 묵직한 연기와 실화가 주는 인간애의 숭고함이 뜨거운 눈물과 감동을 자아냅니다.,전형적인 한국형 신파극의 공식에서 벗어나지 못해 후반부 전개가 다소 작위적이고 피로합니다.
M092,1987,시대극/스릴러/드라마,2017,129,4,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,1,특정 영웅 한 명에 의존하지 않고 역사 속 평범한 대중이 완성한 민주화의 파도를 묵직하고 완성도 높게 그려냈습니다.,격동의 현대사를 다루다 보니 후반부의 감정적 과잉과 다소 직접적인 메시지 전달이 아쉽습니다.
M093,은밀하게 위대하게,액션/코미디,2013,124,3.4,웃고 싶어,친구랑 보고 싶어,1,김수현의 뛰어난 스타성과 원작 웹툰의 매력을 스크린에 잘 이식하여 대중적인 재미를 확보했습니다.,전반부의 유쾌한 코미디와 후반부의 비장한 액션 누아르가 유기적으로 연결되지 못하고 겉돕니다.
M094,"좋은 놈, 나쁜 놈, 이상한 놈",서부극/코미디/액션,2008,139,3.5,가벼운 마음으로 시간을 보내고 싶어,미장센이 좋은 영화를 보고 싶어,1,"한국형 웨스턴 장르의 신기원을 열었으며, 화려한 미장센과 쾌감 넘치는 광활한 액션 시퀀스가 압권입니다.",서사와 인물 간의 서사적 개연성보다는 오직 비주얼과 액션의 볼거리에만 치중한 느낌을 줍니다.
M095,사도,시대극/역사/드라마,2015,125,3.7,생각하게 만드는 영화를 보고 싶어,몰입하고 싶어,1,송강호와 유아인의 팽팽한 연기 대결을 통해 영조와 사도세자의 비극을 단순한 역사가 아닌 보편적인 부자간의 갈등으로 깊이 있게 재해석했습니다.,정통 사극 고유의 무겁고 정적인 호흡이 길게 이어져 관객에 따라 다소 지루하게 느껴질 수 있습니다.
M096,어른 김장하,다큐멘터리,2023,105,4.1,감동받고 싶어,생각하게 만드는 영화를 보고 싶어,1,참된 어른의 부재를 겪는 현대 사회에 '진짜 어른'이란 무엇인가를 보여주는 담백하고도 거대한 울림의 다큐멘터리입니다.,인물의 미담 위주로 구성되어 있어 다큐멘터리 장르로서의 날카로운 갈등이나 극적인 구성미는 약한 편입니다.
M097,"장화, 홍련",공포/스릴러,2003,118,3.4,미장센이 좋은 영화를 보고 싶어,긴장감을 느끼고 싶어,1,"한국 공포 영화의 마스터피스로, 감각적이고 아름다운 미장센과 심리적 공포를 극대화한 연출이 완벽한 조화를 이룹니다.",반전과 난해한 은유에 지나치게 몰두하여 대중적인 서사의 직관적인 이해를 방해하는 면이 있습니다.
M098,너의 결혼식,로맨스,2017,110,3.7,설레고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,첫사랑의 풋풋함과 씁쓸한 현실을 달콤쌉싸름하게 그려내어 누구나 공감할 수 있는 현실 로맨스를 완성했습니다.,남성 주인공의 시선과 판타지에 과도하게 갇혀 있어 상대 여성 캐릭터의 서사가 평면적입니다.
M099,증인,드라마,2018,129,3.8,감동받고 싶어,가족이랑 보고 싶어,1,정우성과 김향기의 따뜻한 교감을 통해 자폐 스펙트럼에 대한 편견을 깨고 사회적 온기를 전하는 무해한 힐링 드라마입니다.,극적 반전이나 법정 장르물로서의 치밀한 서스펜스가 다소 부족하며 결말이 지나치게 온정주의적입니다.
M100,인어 공주,로맨스/판타지,2004,110,3.5,미장센이 좋은 영화를 보고 싶어,설레고 싶어,1,판타지적 설정을 통해 엄마의 순수했던 청춘을 마주하는 서사가 전도연의 1인 2역 열연과 만나 깊은 감동을 줍니다.,과거와 현재를 오가는 구성 속에서 일부 감정선이 거칠게 튀거나 지나치게 감상적으로 느껴지기도 합니다.
M101,승부,스포츠/드라마,2025,114,3.3,몰입하고 싶어,성장 이야기가 보고 싶어,0,조훈현과 이창호라는 바둑계 두 전설의 사제 관계와 심리적 대국을 이병헌과 유아인의 압도적인 연기력으로 스크린에 긴장감 있게 수놓았습니다.,바둑이라는 정적인 소재를 다루다 보니 규칙을 모르는 관객에게는 다소 불친절하고 정적으로 느껴질 수 있습니다.
M102,윤희에게,로맨스,2019,105,3.9,미장센이 좋은 영화를 보고 싶어,생각하게 만드는 영화를 보고 싶어,1,하얀 눈밭을 배경으로 묻어둔 첫사랑의 기억을 찾아가는 여정을 사려 깊고 잔잔한 미학으로 아름답게 담아냈습니다.,극적인 사건이나 속도감 있는 전개를 선호하는 관객에게는 서사의 호흡이 너무 느리고 잔잔하게 다가옵니다.
M103,해운대,재난/액션/모험,2009,129,3.3,가족이랑 보고 싶어,울고 싶어,1,"한국형 재난 블록버스터의 포문을 연 작품으로, 한국적인 정서가 담긴 캐릭터들과 시원한 CG 볼거리를 결합했습니다.",재난이 닥치기 전까지 전반부의 억지스러운 코미디와 신파적 설정들이 극의 몰입을 다소 방해합니다.
M104,해적: 바다로 간 산적,액션/모험/스포츠,2014,130,3.3,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,조선 건국기라는 역사적 배경에 고래가 국새를 삼켰다는 유쾌한 상상력을 더해 남녀노소 즐길 수 있는 오락성을 갖췄습니다.,유머 코드와 캐릭터 플레이에 과도하게 의존하여 서사의 완성도나 개연성은 빈약한 편입니다.
M105,고지전,전쟁/드라마,2011,133,3.6,생각하게 만드는 영화를 보고 싶어,몰입하고 싶어,1,휴전 협정 중에도 죽어가야 했던 고지전의 참상을 통해 전쟁의 허무함과 본질을 날카롭고 참혹하게 파헤쳤습니다.,전쟁 영화의 전형적인 휴머니즘 공식과 후반부의 감정적 과잉이 메시지의 날카로움을 다소 무디게 만듭니다.
M106,어쩌면 해피엔딩,뮤지컬/로맨스/SF/드라마,2023,95,2.9,음악이 좋은 영화를 보고 싶어,설레고 싶어,0,헬퍼봇이라는 독창적인 SF 소재를 따뜻한 아날로그 감성과 아름다운 음악으로 풀어내며 인간의 감정을 섬세하게 탐구합니다.,무대 예술의 스크린화 과정에서 연극적 연출이 일부 남아 있어 영화적 스케일이나 영상미 측면에서 아쉬움이 남습니다.
M107,1승,스포츠/드라마,2021,107,2.6,성장 이야기가 보고 싶어,가벼운 마음으로 시간을 보내고 싶어,0,지도자 인생에서 한 번도 이겨본 적 없는 감독과 해체 직전의 여자배구단이 선사하는 무난하고 유쾌한 스포츠 상업 영화입니다.,"스포츠 영화의 뻔한 클리셰를 그대로 답습하며, 정해진 결말을 향한 급작스러운 인물들의 성장 서사가 아쉽습니다."
M108,잉여들의 히치하이킹,다큐멘터리,2013,105,3.6,성장 이야기가 보고 싶어,친구랑 보고 싶어,1,청춘들의 무모하지만 반짝이는 도전 정신을 날것 그대로 담아내어 동세대의 청년들에게 현실적인 위로와 공감을 줍니다.,아마추어적인 연출과 정돈되지 않은 카메라 워킹으로 인해 다큐멘터리로서의 시각적 완성도는 떨어집니다.
M109,삼진그룹영어토익반,드라마,2020,110,3.4,가벼운 마음으로 시간을 보내고 싶어,친구랑 보고 싶어,1,90년대 말 고졸 말단 사원들이 연대하여 대기업의 비리를 파헤치는 과정을 경쾌하고 통쾌하게 그려낸 레트로 페미니즘 오락 영화입니다.,후반부로 갈수록 사건 해결 과정이 지나치게 단순화되고 권선징악의 결말이 만화적으로 흐르는 경향이 있습니다.
M110,명당,시대극/역사,2018,126,3.1,몰입하고 싶어,,0,땅의 기운으로 운명을 바꾼다는 흥미로운 소재를 바탕으로 배우들의 탄탄한 연기와 묵직한 사극의 톤을 유지합니다.,권력 암투를 다룬 기존 사극 영화들의 익숙한 틀에서 크게 벗어나지 못해 신선함이 떨어집니다.
M111,1919 유관순,다큐멘터리/시대극,2019,79,3.5,생각하게 만드는 영화를 보고 싶어,울고 싶어,0,유관순 열사를 비롯한 여성 독립운동가들의 희생과 고난을 재조명하여 잊지 말아야 할 역사를 상기시킵니다.,"재연 다큐멘터리 형식으로서 완성도가 거칠고, 감정에 과도하게 호소하는 연출이 극의 세련미를 떨어뜨립니다."
M112,정말 먼 곳,드라마,2020,115,3.3,미장센이 좋은 영화를 보고 싶어,생각하게 만드는 영화를 보고 싶어,1,강원도 화천의 아름다운 풍광 속에 성소수자 부부와 소외된 이들의 삶을 서정적이고 절제된 시선으로 깊이 있게 담았습니다.,은유와 절제가 너무 짙어 인물들의 내면이나 갈등의 핵심이 대중적으로 선명하게 와닿지 않을 수 있습니다.
M113,7번방의 선물,드라마/코미디,2012,127,3.9,울고 싶어,가족이랑 보고 싶어,1,"류승룡의 바보 연기와 아역 배우의 사랑스러운 케미가 돋보이며, 관객의 눈물샘을 확실하게 자극하는 대중적 코미디입니다.",사법 제도를 지나치게 왜곡하고 억지 신파와 극단적인 설정을 동원해 감정을 강요한다는 비판을 피하기 어렵습니다.
M114,"전, 란",액션/역사/시대극,2024,126,3,몰입하고 싶어,미장센이 좋은 영화를 보고 싶어,1,박찬욱 제작의 정교한 미장센 위에서 강동원과 박정민의 강렬한 검술 액션과 신분제를 관통하는 묵직한 메시지가 돋보입니다.,선조 캐릭터를 지나치게 평면적인 악인으로 묘사하는 등 역사적 사건의 변주 과정에서 개연성이 다소 아쉽습니다.
M115,낙원의 밤,범죄,2020,131,2.6,미장센이 좋은 영화를 보고 싶어,긴장감을 느끼고 싶어,1,제주도의 아름다운 풍광과 대비되는 박훈정 감독 특유의 핏빛 가득한 누아르 액션과 냉혹한 분위기가 매력적입니다.,진부한 조폭 서사와 허세 섞인 대사들이 반복되어 장르적 신선함보다는 피로감을 먼저 줍니다.
M116,20세기 소녀,드라마/로맨스,2022,119,3.1,설레고 싶어,울고 싶어,1,90년대 말 학창 시절의 아련한 아날로그 감성과 첫사랑의 기억을 싱그럽고 청량한 비주얼로 잘 재현했습니다.,첫사랑 영화의 전형적인 공식을 그대로 따라가다 보니 결말부의 신파적 반전이 다소 진부하게 느껴집니다.
M117,콜,스릴러,2020,112,3.1,긴장감을 느끼고 싶어,반전을 보고 싶어,1,"전종서의 광기 어린 열연이 극을 압도하며, 전화를 매개로 과거와 현재가 바뀌는 스릴러의 장르적 쾌감을 극대화했습니다.",후반부로 갈수록 타임슬립 서사의 규칙이 무너지며 개연성이 부족해지고 결말의 몰입도가 흐려집니다.
M118,무도실무관,액션/코미디,2024,109,2.7,가벼운 마음으로 시간을 보내고 싶어,친구랑 보고 싶어,1,생소한 직업을 소재로 김우빈의 호쾌한 유도·태권도 액션과 사회적 안전에 대한 긍정적인 메시지를 유쾌하게 담아냈습니다.,흉악 범죄를 다루는 방식이나 주인공의 무해한 영웅성에 대한 믿음이 다소 단순하고 순진하게 접근된 면이 있습니다.
M119,스마트폰을 떨어뜨렸을 뿐인데,스릴러,2023,117,2.8,긴장감을 느끼고 싶어,몰입하고 싶어,1,일상적인 소지품이 공포의 대상이 되는 현실적인 서스펜스와 임시완의 소름 돋는 악역 연기가 몰입감을 높입니다.,후반부 사건 해결 과정에서 개연성이 떨어지고 원작 소설이나 일본 영화에 비해 장르적 치밀함이 아쉽습니다.
M120,길복순,액션,2023,137,2.8,미장센이 좋은 영화를 보고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,전도연의 파격적인 킬러 액션 변신과 독특한 살인청부업계 세계관의 스타일리시한 시각 연출이 돋보입니다.,모녀 관계의 드라마와 막장 액션 세계관이 유기적으로 결합되지 못하고 겉돌며 대사가 다소 오글거린다는 지적이 있습니다.
M121,사바하,미스터리/스릴러,2019,122,3.3,몰입하고 싶어,긴장감을 느끼고 싶어,1,종교적 상징과 오컬트 장르를 영리하게 엮어 서늘하고 묵직한 분위기를 훌륭하게 구축했다.,후반부 사건의 진상이 밝혀지는 과정이 다소 장황하고 설명조의 대사에 크게 의존한다.
M122,발레리나,액션/스릴러,2023,93,2.5,미장센이 좋은 영화를 보고 싶어,몰입하고 싶어,1,감각적이고 스타일리시한 미장센 속에서 속도감 넘치는 강렬한 타격 액션이 시각적 쾌감을 선사한다.,복수의 동기와 인물들 간의 서사적 깊이가 얕아 시각적 화려함에 비해 감정적 몰입도는 떨어진다.
M123,그녀가 죽었다,드라마/미스터리/스릴러,2024,103,2.9,긴장감을 느끼고 싶어,몰입하고 싶어,1,관음증과 SNS의 이중성이라는 불편한 소재를 비호감 캐릭터들의 팽팽한 심리전과 속도감 있는 전개로 흥미롭게 풀어냈다.,가해자의 시점을 대변하는 부적절한 톤의 내레이션이 자칫 몰입을 방해하고 극의 주제 의식을 약화시킬 우려가 있다.
M124,연가시,드라마/SF/스릴러/재난,2012,109,3.1,긴장감을 느끼고 싶어,몰입하고 싶어,1,변종 기생충이라는 참신한 소재를 현실적인 재난 공포로 연결하며 숨 막히는 긴장감과 몰입감을 조성한다.,중반부 이후 반복되는 위기 상황과 전형적인 가족 구출 신파극 구조가 극의 피로감을 유발한다.
M125,판도라,드라마/스릴러/재난,2016,136,2.8,울고 싶어,생각하게 만드는 영화를 보고 싶어,1,원전 폭발이라는 묵직하고 현실적인 재난의 스케일을 거대하고 경각심 있게 그려내 사회적 울림을 준다.,눈물을 노골적으로 강요하는 작위적인 전개와 후반부 억지 신파가 재난 영화로서의 리얼리티를 크게 해친다.
M126,타워,드라마/재난,2012,121,3.3,긴장감을 느끼고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,초고층 빌딩 화재라는 한정된 공간이 주는 압도적인 스펙터클을 훌륭한 시각효과(CG)와 연출로 생생하게 구현했다.,등장인물들의 사연과 갈등 구조가 기존 할리우드 재난 영화들의 뻔한 클리셰를 그대로 답습하여 신선함이 없다.
M127,옥자,드라마/모험/액션,2017,120,3.5,생각하게 만드는 영화를 보고 싶어,감동받고 싶어,1,"자본주의의 잔혹함을 꼬집는 날카로운 풍자와 유전자 조작 동물, 소녀의 따뜻한 유대감을 성공적으로 결합했다.","전달하려는 메시지가 지나치게 직설적이며, 과장되고 만화적인 인물 설정들이 극의 분위기와 이질감을 준다."
M128,덕혜옹주,시대극/드라마,2016,127,3.4,울고 싶어,감동받고 싶어,1,역사의 소용돌이에 휩쓸린 개인의 비극을 주연 배우의 섬세하고 폭발적인 감정 연기로 애절하게 복원했다.,실존 인물의 주체성을 왜곡한 과도한 미화 논란과 억지 감동을 유발하려는 연출이 역사적 아쉬움을 남긴다.
M129,남한산성,드라마/시대극/전쟁/액션/역사,2017,139,3.7,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,1,병자호란의 참담함을 밀도 높은 텍스트와 두 충신의 팽팽한 이념 대립으로 건조하고 묵직하게 담아낸 수작이다.,감정적인 카타르시스가 배제된 차갑고 정적인 전개 탓에 상업 영화로서의 극적인 오락성을 기대하기 어렵다.
M130,말할 수 없는 비밀,판타지/로맨스,2022,103,2.7,음악이 좋은 영화를 보고 싶어,설레고 싶어,1,풋풋한 청춘의 감성과 두 인물을 이어주는 피아노 선율의 아름다움을 시청각적으로 무난하게 살려냈다.,원작이 가진 독보적인 분위기와 강력한 반전의 묘미를 뛰어넘지 못하고 지나치게 안전하고 평이한 각색에 머물렀다.
M131,하이파이브,판타지/코미디,2025,119,3.1,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,강형철 감독 특유의 유머와 기발한 초능력 설정이 만나 배우들의 훌륭한 앙상블과 경쾌한 오락성을 선사한다.,"초능력을 둘러싼 세계관 설정이 다소 느슨하고, 액션 시퀀스의 편집이 툭툭 끊겨 극의 몰입을 방해하는 경향이 있다."
M132,조선명탐점:흡혈괴마의 비밀,시대극/코미디/모험/범죄,2017,120,3,웃고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,김명민과 오달수의 검증된 찰떡 호흡에 흡혈귀라는 판타지 요소를 얹어 가볍고 유쾌하게 즐기기 좋은 팝콘 무비다.,"시리즈가 반복되면서 유머 패턴이 고착화되었고, 뻔한 전개와 감동 강요가 신선함을 크게 떨어뜨린다."
M133,침범,미스터리/스릴러,2024,112,2.9,(긴장감을 느끼고 싶어),(몰입하고 싶어),0,일상의 경계가 무너지는 과정과 인간 내면의 순수한 악을 서늘하고 긴장감 넘치는 스릴러로 훌륭하게 묘사했다.,극 전반에 깔린 어둡고 심리적인 압박감이 강해 뚜렷한 카타르시스를 기대한 관객에게는 답답하고 피로하게 다가올 수 있다.
M134,밀정,액션/시대극/역사/스릴러,2016,140,3.8,긴장감을 느끼고 싶어,미장센이 좋은 영화를 보고 싶어,1,김지운 감독의 세련된 미장센 속에서 송강호와 공유가 빚어내는 팽팽한 심리전이 압도적인 서스펜스를 구축한다.,인물들의 복잡한 내면에 집중한 나머지 전개가 다소 무겁고 느려 액션 쾌감을 기대한 관객에겐 지루할 수 있다.
M135,콘크리트 유토피아,드라마/스릴러/미스터리,2023,129,3.3,몰입하고 싶어,생각하게 만드는 영화를 보고 싶어,1,"재난 이후 드러나는 인간의 이기심과 사회의 붕괴를 날카롭게 통찰하며, 이병헌의 광기 어린 연기가 극을 압도한다.",재난 상황 속 인간 군상의 바닥을 지나치게 건조하고 비관적으로 그려내 관람 후 심리적인 씁쓸함과 소모감이 크다.
M136,안시성,시대극/액션,2017,135,3,몰입하고 싶어,가벼운 마음으로 시간을 보내고 싶어,1,한국 영화에서 보기 드문 웅장한 스케일과 다이내믹한 공성전 액션이 폭발적인 시각적 카타르시스를 제공한다.,"화려한 전투신에 비해 인물들의 서사가 빈약하며, 현대극에 가까운 가벼운 대사 톤이 사극 특유의 묵직함을 앗아간다."
M137,챔피언,드라마/스포츠/가족,2018,108,2.8,웃고 싶어,가족이랑 보고 싶어,1,마동석 특유의 친근한 캐릭터 매력과 팔씨름이라는 신선한 소재가 가족애와 버무려져 따뜻한 웃음을 준다.,"전형적인 스포츠 영화의 언더독 공식을 그대로 답습하며, 후반부 작위적인 가족 신파가 이야기의 매력을 반감시킨다."
M138,워낭소리,다큐멘터리,2008,75,3.4,감동받고 싶어,울고 싶어,1,노인과 늙은 소의 묵묵하고 진실한 교감을 자극적인 연출 없이 담담하게 포착해내 깊고 진한 감동의 여운을 남긴다.,서사 중심의 극영화에 익숙한 관객에게는 매우 느리고 정적인 다큐멘터리 특유의 호흡이 지루하게 느껴질 수 있다.
M139,"그날, 바다",다큐멘터리,2018,110,3.7,생각하게 만드는 영화를 보고 싶어,몰입하고 싶어,1,세월호 참사의 원인을 AIS 데이터와 과학적 분석을 통해 논리적이고 집요하게 추적하여 묵직한 질문을 던진다.,방대한 데이터와 복잡한 그래픽 자료가 쉴 새 없이 쏟아져 대중들이 내용을 직관적으로 따라가고 이해하기엔 진입 장벽이 높다.
M140,자백,다큐멘터리,2016,106,3.6,생각하게 만드는 영화를 보고 싶어,몰입하고 싶어,1,국가 권력이 주도한 간첩 조작 사건의 실체를 성역 없이 파헤치는 끈질긴 저널리즘 정신이 돋보이는 문제작이다.,고발 다큐멘터리의 목적성이 강해 연출 방식이 다소 공격적이고 선동적으로 비칠 여지가 있다.
M141,초능력자,드라마/SF/스릴러/액션,2010,114,2.9,긴장감을 느끼고 싶어,몰입하고 싶어,1,타인을 조종하는 초능력자와 통하지 않는 유일한 남자의 대결이라는 신선한 설정과 두 주연 배우의 매력이 돋보인다.,흥미로운 초반 설정에 비해 후반부로 갈수록 서사의 개연성이 헐거워지고 액션 연출이 다소 엉성하다.
M142,메기,미스터리/코미디,2018,88,3.7,미장센이 좋은 영화를 보고 싶어,생각하게 만드는 영화를 보고 싶어,1,"청년 세대의 불안과 믿음이라는 주제를 통통 튀는 상상력과 감각적인 미장센, 독창적인 화법으로 유쾌하게 풀어냈다.",다양한 에피소드와 은유가 파편적으로 연결되어 있어 서사 중심의 영화에 익숙한 관객에게는 난해하게 다가올 수 있다.
M143,조선마술사,드라마/판타지/시대극,2015,122,3.5,(미장센이 좋은 영화를 보고 싶어),(설레고 싶어),0,화려한 마술 세트장과 의상 등 시각적인 볼거리가 풍부하며 주연 배우들의 풋풋한 로맨스가 눈길을 끈다.,마술이라는 매력적인 소재를 제대로 살리지 못한 채 진부하고 밋밋한 멜로 서사에 치중하여 몰입도가 떨어진다.
M144,영웅,뮤지컬/드라마,2022,120,3.1,음악이 좋은 영화를 보고 싶어,감동받고 싶어,1,"안중근 의사의 마지막 1년을 스크린에 담아내며, 오리지널 넘버의 감동과 정성화의 호소력 짙은 연기가 묵직한 울림을 준다.",무대 뮤지컬의 감동을 영화 매체로 옮기는 과정에서 연출이 다소 투박하고 신파적 요소가 과하게 느껴질 수 있다.
M145,우리들,드라마/가족,2016,94,3.8,성장 이야기가 보고 싶어,생각하게 만드는 영화를 보고 싶어,1,아이들의 세계에서 벌어지는 관계의 역학과 상처를 놀랍도록 섬세하고 사실적인 시선으로 포착해 깊은 공감을 자아낸다.,일상적이고 잔잔한 흐름 속에서 진행되는 미세한 감정선의 변화가 자극적인 전개를 선호하는 이들에겐 다소 심심할 수 있다.
M146,말아톤,스포츠/드라마,2005,117,3.6,감동받고 싶어,가족이랑 보고 싶어,1,자폐 스펙트럼 장애를 가진 청년의 도전을 따뜻한 시선으로 그리며 조승우의 소름 돋는 명연기가 깊은 감동을 선사한다.,실화를 바탕으로 한 휴먼 드라마의 전형적인 극복 서사 공식을 충실히 따르고 있어 이야기의 전개가 다소 예측 가능하다.
M147,최종병기 활,액션/시대극/전쟁,2011,122,3.6,긴장감을 느끼고 싶어,몰입하고 싶어,1,활이라는 무기가 가진 속도감과 파괴력을 극대화한 독창적인 추격 액션으로 시종일관 손에 땀을 쥐는 긴장감을 유발한다.,후반부 액션의 스케일과 쾌감에 집중한 나머지 병자호란이라는 역사적 배경이나 인물들의 내면 묘사는 다소 단편적이다.
M148,공동경비구역 JSA,드라마/전쟁/스릴러,2000,110,3.9,감동받고 싶어,생각하게 만드는 영화를 보고 싶어,1,분단의 비극을 판문점 초소병들의 우정이라는 금기된 소재로 영리하게 풀어내 서스펜스와 인류애를 동시에 획득한 명작이다.,개봉 당시의 파격성과 신선함이 세월이 흐른 지금 시점의 관객들에게는 익숙한 분단 서사의 원형으로 느껴질 수 있다.
M149,백두산,재난/액션/드라마,2019,128,3.3,가벼운 마음으로 시간을 보내고 싶어,웃고 싶어,1,"백두산 폭발이라는 거대한 재난 스케일을 구현한 시각효과(VFX)와 이병헌, 하정우의 능청스러운 버디 케미가 오락성을 높인다.",할리우드 재난 블록버스터의 공식을 짜깁기한 듯한 각본과 편의주의적인 결말이 서사적 긴장감을 크게 무너뜨린다.
M150,우리 생애 최고의 순간,스포츠/드라마,2007,124,3.4,감동받고 싶어,울고 싶어,1,"비인기 종목 여성 선수들의 눈물겨운 투혼을 진정성 있게 담아내어, 억지 신파 없는 건강하고 뜨거운 스포츠 감동을 안긴다.",핸드볼 경기 자체의 역동적인 묘사보다는 선수들 개인의 신파적이고 고단한 사연에 다소 많은 비중을 할애했다.
M151,김군,다큐멘터리,2018,85,3.8,생각하게 만드는 영화를 보고 싶어,몰입하고 싶어,1,5·18 민주화운동 당시 찍힌 사진 속 무명 시민군의 정체를 추적하는 과정을 스릴러 기법으로 엮어내 강렬한 몰입감을 선사한다.,인터뷰와 기록을 교차하는 다큐멘터리 방식이 정보 전달에 집중되어 있어 극적인 카타르시스를 기대한다면 아쉬울 수 있다.
